Type,Value,Source,Threat_Category,Date
url,https://0techsyncq.run/riid,ThreatFox API,botnet_cc,2025-04-29 11:40:19 UTC
url,https://rvvigorbridgoe.top/banb,ThreatFox API,botnet_cc,2025-04-29 10:55:57 UTC
url,https://rushelectc.digital/qopd,ThreatFox API,botnet_cc,2025-04-29 10:55:56 UTC
url,https://bwoodpeckersd.run/glsk,ThreatFox API,botnet_cc,2025-04-29 10:55:38 UTC
url,https://xbearjk.live/benj,ThreatFox API,botnet_cc,2025-04-29 10:51:13 UTC
url,https://m2chivalroq.live/tapo,ThreatFox API,botnet_cc,2025-04-29 10:50:48 UTC
url,https://ajwparakehjet.run/kewk,ThreatFox API,botnet_cc,2025-04-29 10:50:24 UTC
url,https://0fishgh.digital/tequ,ThreatFox API,botnet_cc,2025-04-29 10:50:17 UTC
ip:port,62.109.13.63:7777,ThreatFox API,botnet_cc,2025-04-29 08:53:35 UTC
ip:port,54.38.94.225:8882,ThreatFox API,botnet_cc,2025-04-29 08:53:29 UTC
ip:port,196.251.73.133:4752,ThreatFox API,botnet_cc,2025-04-29 08:49:44 UTC
ip:port,173.225.103.138:8080,ThreatFox API,botnet_cc,2025-04-29 08:47:25 UTC
ip:port,154.30.4.199:2404,ThreatFox API,botnet_cc,2025-04-29 08:46:06 UTC
ip:port,111.29.40.211:4506,ThreatFox API,botnet_cc,2025-04-29 08:44:03 UTC
ip:port,107.143.144.154:8080,ThreatFox API,botnet_cc,2025-04-29 08:43:42 UTC
ip:port,176.65.148.196:80,ThreatFox API,botnet_cc,2025-04-29 08:02:45 UTC
ip:port,3.110.43.70:59567,ThreatFox API,botnet_cc,2025-04-29 08:02:29 UTC
ip:port,3.24.212.87:7001,ThreatFox API,botnet_cc,2025-04-29 08:02:28 UTC
ip:port,3.24.212.87:9201,ThreatFox API,botnet_cc,2025-04-29 08:02:28 UTC
domain,antoanthongtin.site,ThreatFox API,botnet_cc,2025-04-29 08:02:23 UTC
domain,zealous-cohen.196-251-73-47.plesk.page,ThreatFox API,botnet_cc,2025-04-29 08:02:23 UTC
ip:port,144.91.124.44:8082,ThreatFox API,botnet_cc,2025-04-29 08:02:17 UTC
ip:port,144.91.124.44:80,ThreatFox API,botnet_cc,2025-04-29 08:02:17 UTC
ip:port,196.251.116.68:7707,ThreatFox API,botnet_cc,2025-04-29 08:02:07 UTC
ip:port,196.251.116.129:8808,ThreatFox API,botnet_cc,2025-04-29 08:02:07 UTC
domain,xn--bz-hep-p9af.shop,ThreatFox API,botnet_cc,2025-04-29 08:02:06 UTC
domain,beautiful-faraday.94-156-177-241.plesk.page,ThreatFox API,botnet_cc,2025-04-29 08:02:06 UTC
ip:port,185.146.232.169:80,ThreatFox API,botnet_cc,2025-04-29 08:01:37 UTC
ip:port,84.201.20.31:31337,ThreatFox API,botnet_cc,2025-04-29 08:01:35 UTC
ip:port,119.8.103.108:31337,ThreatFox API,botnet_cc,2025-04-29 08:01:35 UTC
ip:port,129.226.212.179:11112,ThreatFox API,botnet_cc,2025-04-29 08:01:06 UTC
domain,vecturar.top,ThreatFox API,botnet_cc,2025-04-29 07:13:54 UTC
domain,gorillao.digital,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,quonecony.live,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,rusconfi.run,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,techwaveg.run,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,hungreecoq.run,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,bardcauft.run,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,lemurz.digital,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,surmisehotte.click,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,intelhube.live,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
domain,62.3a.4t.com,ThreatFox API,botnet_cc,2025-04-29 07:10:50 UTC
url,https://62.3a.4t.com/,ThreatFox API,botnet_cc,2025-04-29 07:10:36 UTC
domain,clients.contology.com,ThreatFox API,payload_delivery,2025-04-29 07:10:27 UTC
domain,smart-american.com,ThreatFox API,botnet_cc,2025-04-29 07:10:03 UTC
domain,viridisw.top,ThreatFox API,botnet_cc,2025-04-29 07:10:01 UTC
domain,archives-yn.gl.at.ply.gg,ThreatFox API,botnet_cc,2025-04-29 07:09:38 UTC
domain,moving-aims.gl.at.ply.gg,ThreatFox API,botnet_cc,2025-04-29 07:09:38 UTC
domain,property-send.gl.at.ply.gg,ThreatFox API,botnet_cc,2025-04-29 07:09:38 UTC
domain,senior-bottles.gl.at.ply.gg,ThreatFox API,botnet_cc,2025-04-29 07:09:38 UTC
url,https://pastebin.com/raw/0x4emXV3,ThreatFox API,botnet_cc,2025-04-29 07:09:12 UTC
ip:port,216.9.225.163:27070,ThreatFox API,botnet_cc,2025-04-29 07:08:53 UTC
ip:port,216.9.225.168:13604,ThreatFox API,botnet_cc,2025-04-29 07:08:53 UTC
ip:port,216.9.225.168:13605,ThreatFox API,botnet_cc,2025-04-29 07:08:53 UTC
